Title,Release Date,Language,Vote Average,Popularity
Durgada Huli,24-02-2000,Kannada,0,0.2822
Shabdavedhi,02-01-2000,Kannada,5.5,0.227
Preethse,01-01-2000,Kannada,0,0.1799
Yajamana,01-12-2000,Kannada,0,0.1323
Sparsha,09-06-2000,Kannada,5.7,0.2024
Munnudi,27-10-2000,Kannada,0,0.0602
Preethsu Thappenilla,12-05-2000,Kannada,0,0.0545
Husharagiri,01-01-2000,Kannada,0,0.0214
neelambari,09-10-2001,Kannada,0,0.3312
Kotigalu Saar Kotigalu,27-12-2001,Kannada,0,0.1471
Usire,06-04-2001,Kannada,0,0.1486
Kurigalu Saar Kurigalu,22-03-2001,Kannada,0,0.1691
Kotigobba,16-11-2001,Kannada,9,0.1315
Amma Nagamma,18-09-2001,Kannada,0,0.0826
Diggajaru,26-01-2001,Kannada,0,0.1041
Huccha,06-07-2001,Kannada,5.9,0.0714
Nanna Preethiya Hudugi,06-04-2001,Kannada,0,0.0969
Banallu Neene Buviyallu Neene,29-10-2001,Kannada,0,0.0676
The Dusk,25-07-2001,Kannada,0,0.0311
Afternoon Song,31-12-2001,Kannada,0,0.0143
Hollywood,06-12-2002,Kannada,7.2,0.9038
Appu,26-04-2002,Kannada,0,0.5801
Dhruva,13-09-2002,Kannada,0,0.4097
The Island,27-12-2002,Kannada,6.5,0.2733
Chandu,10-05-2002,Kannada,2,0.1719
Naanu Naane,01-01-2002,Kannada,0,0.2489
Super Star,01-01-2002,Kannada,0,0.1752
Nagarahavu,22-08-2002,Kannada,0,0.1591
H2O,29-03-2002,Kannada,7,0.0767
Thavarige Baa Thangi,01-11-2002,Kannada,0,0.112
Simhadriya Simha,07-06-2002,Kannada,6,0.0621
Ekangi,01-01-2002,Kannada,0,0.075
Balagalittu Olage Baa,01-01-2002,Kannada,0,0.0714
Dakota Express,11-04-2002,Kannada,0,0.0958
Guest,08-08-2002,Kannada,0,0.0828
Three Months of Solitude,31-12-2002,Kannada,0,0.0071
Chigurida Kanasu,02-10-2003,Kannada,0,0.2012
Raktha Kanneeru,18-09-2003,Kannada,8,0.2347
Kiccha,11-04-2003,Kannada,0,0.1686
Vijaya Dashami,06-06-2003,Kannada,0,0.1855
Gokarna,25-12-2003,Kannada,0,0.1748
Swaathi Mutthu,26-12-2003,Kannada,6,0.1205
Abhi,25-04-2003,Kannada,6,0.1038
Excuse Me,05-12-2003,Kannada,0,0.1261
Katthegalu Saar Katthegalu,27-03-2003,Kannada,0,0.1102
Kariya,03-01-2003,Kannada,0,0.0821
Olu Saar Bari Olu,28-11-2003,Kannada,0,0.0466
Paris Pranaya,18-04-2003,Kannada,0,0.0773
Kutumba,27-03-2003,Kannada,0,0.0947
Ree Swalpa Bartheera,03-09-2003,Kannada,0,0.0423
Artha(Purpose),30-12-2003,Kannada,0,0.0311
Ondagona Baa,23-10-2003,Kannada,0,0.052
Apthamitra,27-08-2004,Kannada,8.2,0.3387
Durgi,28-04-2004,Kannada,0,0.1783
Jyeshta,17-12-2004,Kannada,0,0.1436
Kalasipalya,15-10-2004,Kannada,0,0.1341
Love,09-07-2004,Kannada,7.5,0.106
Bisi Bisi,22-01-2004,Kannada,0,0.1338
Omkara,18-09-2004,Kannada,0,0.1017
Maurya,22-10-2004,Kannada,0,0.0889
Monalisa,07-05-2004,Kannada,2,0.0779
Kadamba,16-01-2004,Kannada,0,0.1067
Veera Kannadiga,01-01-2004,Kannada,5,0.0548
Sahukara,24-09-2004,Kannada,0,0.1057
Haseena,01-04-2004,Kannada,9,0.0544
Monda,01-04-2004,Kannada,0,0.0416
Malla,27-02-2004,Kannada,0,0.0214
Amrithadhare,07-10-2005,Kannada,0,0.2982
Nenapirali,02-12-2005,Kannada,0,0.2733
Rama Shama Bhama,09-12-2005,Kannada,9.5,0.2777
Jogi,19-08-2005,Kannada,7,0.2188
Dr. B. R. Ambedkar,30-12-2005,Kannada,0,0.2182
Vishnu Sena,22-12-2005,Kannada,0,0.2965
Mahasadhvi Mallamma,14-01-2005,Kannada,0,0.1749
Magic Ajji,17-06-2005,Kannada,0,0.1374
Aakash,29-04-2005,Kannada,0,0.1201
Namma Basava,09-09-2005,Kannada,0,0.1032
Pandu Ranga Vittala,30-12-2005,Kannada,0,0.205
Aham Premasmi,27-05-2005,Kannada,0,0.1586
Aadi,04-03-2005,Kannada,0,0.0556
Auto Shankar,09-09-2005,Kannada,2,0.1033
Ranachandi,25-03-2005,Kannada,0,0.076
Valmiki,29-07-2005,Kannada,0,0.0389
Gowramma,03-06-2005,Kannada,0,0.0362
Cyanide,08-01-2006,Kannada,5,0.6546
Ajay,04-05-2006,Kannada,6,0.2448
Mungaru Male,15-12-2006,Kannada,7.3,0.3872
Tenali Rama,07-12-2006,Kannada,0,0.2454
Aishwarya,15-09-2006,Kannada,5,0.1792
Thandege Thakka Maga,31-03-2006,Kannada,7.5,0.1651
Tananam Tananam,24-11-2006,Kannada,0,0.1586
My Autograph,17-02-2006,Kannada,6.5,0.121
Chellata,21-04-2006,Kannada,0,0.1167
Thavarina Siri,19-05-2006,Kannada,0,0.0879
Naayi Neralu,01-04-2006,Kannada,5,0.0669
Sevanthi Sevanthi,14-04-2006,Kannada,0,0.0679
Ganda Hendathi,27-06-2006,Kannada,2,0.1177
Neenello Nanalle,08-07-2006,Kannada,0,0.053
Care of Footpath,24-11-2006,Kannada,0,0.0214
Ravi Shastry,28-09-2006,Kannada,0,0.0286
Mandya,06-01-2006,Kannada,0,0.0239
Ekadanta,16-03-2007,Kannada,0,0.7373
Milana,14-09-2007,Kannada,7.3,0.5073
Aa Dinagalu,19-10-2007,Kannada,7,0.219
krishna,05-10-2007,Kannada,0,0.243
Arasu,25-01-2007,Kannada,5,0.1547
Anatharu,14-09-2007,Kannada,0,0.1619
"#73, Shantinivasa",15-06-2007,Kannada,6,0.1309
Ee Preethi Yeke Bhoomi Melide,28-12-2007,Kannada,0,0.105
Prarambha,08-09-2007,Kannada,0,0.1629
Duniya,23-02-2007,Kannada,7,0.091
Santa,18-05-2007,Kannada,6,0.0719
Hudugaata,08-06-2007,Kannada,0,0.0707
Lava Kusha,13-12-2007,Kannada,0,0.0802
Cheluvina Chittara,22-06-2007,Kannada,0,0.087
Chanda,27-11-2007,Kannada,0,0.0526
Sathyavan Savithri,16-12-2007,Kannada,7,0.061
Ee Bandhana,21-12-2007,Kannada,2,0.1156
Maathaad Maathaadu Mallige,24-08-2007,Kannada,5.7,0.0714
Soundarya,20-04-2007,Kannada,0,0.0698
Kaada Beladingalu,03-10-2007,Kannada,0,0.0416
Jambada Hudugi,15-06-2007,Kannada,0,0.0379
Aramane,25-04-2008,Kannada,0,0.1605
Inthi Ninna Preethiya,29-02-2008,Kannada,9,0.1683
Satya In Love,29-03-2008,Kannada,0,0.1355
Rocky,25-12-2008,Kannada,3,0.1092
Arjun,12-08-2008,Kannada,0,0.156
Bindaas,15-02-2008,Kannada,4,0.1477
Gulabi Talkies,14-07-2008,Kannada,4,0.1302
Moggina Manasu,18-07-2008,Kannada,8,0.1614
Gaalipata,30-01-2008,Kannada,7.4,0.1263
gaja,11-01-2008,Kannada,0,0.1201
Minchina Ota,10-07-2008,Kannada,0,0.1761
Vamshi,02-10-2008,Kannada,6,0.1045
Mr. Garagasa,12-04-2008,Kannada,0,0.0787
Mast Maja Maadi,12-12-2008,Kannada,0,0.0817
Chaitrada Chandrama,06-09-2008,Kannada,0,0.1164
Gooli,21-03-2008,Kannada,0,0.0468
Bhanta,13-09-2008,Kannada,8,0.0544
Ganesha Matthe Banda,06-09-2008,Kannada,0,0.052
Buddhivantha,26-09-2008,Kannada,7,0.1258
Haage Summane,26-12-2008,Kannada,0,0.0286
Mussanjemaathu,16-05-2008,Kannada,6,0.0214
Gilli,16-10-2009,Kannada,0,0.2694
Birugaali,06-02-2009,Kannada,0,0.1835
Junglee,06-02-2009,Kannada,0,0.2361
Savaari,10-04-2009,Kannada,0,0.2148
Jolly Days,23-01-2009,Kannada,0,0.1765
Raam,25-12-2009,Kannada,5.5,0.1544
Kempa,09-01-2009,Kannada,0,0.1783
Raaj,14-08-2009,Kannada,4,0.1395
Kabaddi,03-07-2009,Kannada,0,0.5201
Manasaare,25-09-2009,Kannada,7,0.1259
Circus,15-01-2009,Kannada,0,0.1387
Jeeva,27-11-2009,Kannada,0,0.1267
Devaru Kotta Tangi,11-11-2009,Kannada,0,0.0825
Male Barali Manju Irali,31-07-2009,Kannada,0,0.0983
Venkata In Sankata,19-02-2009,Kannada,0,0.0914
Dubai Babu,22-05-2009,Kannada,0,0.1267
Maleyali Jotheyali,11-12-2009,Kannada,0,0.0669
Kannadada Kiran Bedi,27-03-2009,Kannada,0,0.0676
Nanda,22-01-2009,Kannada,0,0.1144
Eddelu Manjunatha,17-07-2009,Kannada,0,0.0466
Mooru Guttu Ondu Sullu Ondu Nija,06-11-2009,Kannada,0,0.0588
Bellary Naga,09-10-2009,Kannada,0,0.1154
Ghauttham,03-04-2009,Kannada,0,0.0482
Hatrick Hodi Maga,08-05-2009,Kannada,0,0.0478
Josh,10-04-2009,Kannada,0,0.0543
Putaani Party,07-07-2009,Kannada,0,0.0398
Porki,28-01-2010,Kannada,4.8,0.3364
Super,03-12-2010,Kannada,6.15,0.3078
Anishchitha,22-01-2010,Kannada,0,0.1895
Hendtheer Darbar,02-07-2010,Kannada,0,0.1748
Aithalakkadi,04-06-2010,Kannada,0,0.2445
Jackie,14-10-2010,Kannada,0,0.169
Aptharakshaka,18-02-2010,Kannada,6.7,0.2293
Pancharangi,04-09-2010,Kannada,6.2,0.1191
Thamassu,11-06-2010,Kannada,0,0.093
Kanasembo Kudureyaneri,10-12-2010,Kannada,0,0.1424
Kiccha Huccha,15-10-2010,Kannada,4,0.1224
Ullasa Uthsaha,30-04-2010,Kannada,7.5,0.1322
Krishnan Love Story,18-06-2010,Kannada,7,0.1425
Crazy Kutumba,11-02-2010,Kannada,0,0.0718
Mr. Theertha,25-06-2010,Kannada,0,0.096
Naanu Nanna Kanasu,14-05-2010,Kannada,0,0.1188
Bisile,26-11-2010,Kannada,0,0.0466
Modalasala,08-10-2010,Kannada,0,0.0454
Suryakanthi,14-10-2010,Kannada,0,0.052
Huduga Hudugi,12-11-2010,Kannada,0,0.0656
Cheluveye Ninne Nodalu,06-08-2010,Kannada,0,0.0475
Mylari,23-12-2010,Kannada,3.5,0.0379
Rasarishi Kuvempu,17-07-2010,Kannada,0,0.0071
Nam Areal Ond Dina,09-06-2010,Kannada,0,0
Kempe Gowda,11-03-2011,Kannada,5.8,0.6114
Jarasandha,25-11-2011,Kannada,0,0.2045
Hudugaru,05-05-2011,Kannada,7.3,0.1621
Kiraathaka,24-06-2011,Kannada,7,0.2883
Sanju Weds Geetha,01-04-2011,Kannada,0,0.2131
Sarasammana Samadhi,30-12-2011,Kannada,0,0.1497
Raajadhaani,03-06-2011,Kannada,0,0.2306
Lifeu Ishtene,09-09-2011,Kannada,8,0.1278
Paramathma,05-10-2011,Kannada,6.786,0.3102
Dandam Dashagunam: The Police,05-04-2011,Kannada,6,0.1559
Shrimathi,08-07-2011,Kannada,0,0.1396
Rajani,01-01-2011,Kannada,0,0.1108
