Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Dil Dhadakne Do,04-06-2015,Hindi,Anil Kapoor,Shefali Shah,Ehsaan Noorani,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.",6.8,4.0402
Tamasha,27-11-2015,Hindi,Ranbir Kapoor,Deepika Padukone,A.R. Rahman,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.",6.8,3.9732
Bajrangi Bhaijaan,17-07-2015,Hindi,Salman Khan,Harshaali Malthotra,Pritam Chakraborty,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,7.788,3.6297
Dilwale,18-12-2015,Hindi,Shah Rukh Khan,Kajol,Pritam Chakraborty,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.,6.634,3.2724
Bajirao Mastani,18-12-2015,Hindi,Ranveer Singh,Deepika Padukone,Sanchit Balhara,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",7.3,3.5686
Talvar,02-10-2015,Hindi,Irrfan Khan,Konkona Sen Sharma,Ketan Sodha,A hardened cop deals with three conflicting perspectives involving a brutal double murder. The case is complicated as the prime suspects are the parents who supposedly killed their teenage daughter.,7.4,2.7849
Masaan,24-07-2015,Hindi,Sanjay Mishra,Richa Chadha,Guadalupe Rosas,"Four lives intersect along the Ganges: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",7,2.7868
Drishyam,30-07-2015,Hindi,Ajay Devgn,Tabu,Sameer Phaterpekar,A simple street-smart man tries to protect his family from a cop looking for her missing son who was accidently killed by his daughter.,7.658,2.5339
Dum Laga Ke Haisha,27-02-2015,Hindi,Ayushmann Khurrana,Bhumi Pednekar,Anu Malik,A slim uneducated guy is pressured into an arranged marriage with an overweight college girl. The mismatched couple is challenged to compete in the annual wife-carrying race.,7.2,2.3757
Baby,23-01-2015,Hindi,Akshay Kumar,Taapsee Pannu,M.M. Keeravaani,A small nascent elite team of the Indian intelligence system perpetually strives to detect and eliminate terrorists and their plots. Officer Ajay leads his team to destroy one such potentially lethal ploy in their biggest operation yet.,6.8,2.1572
