Title,Release Date,Language,Vote Average,Popularity
Mohabbatein,27-10-2000,Hindi,7,2.3164
Mela,07-01-2000,Hindi,4.6,1.9619
Josh,09-06-2000,Hindi,5.9,1.2745
Hera Pheri,31-03-2000,Hindi,6.9,0.9331
Kaho Naa... Pyaar Hai,14-01-2000,Hindi,6.7,0.6764
Badal,11-02-2000,Hindi,5.9,0.4971
Jis Desh Mein Ganga Rehta Hai,13-10-2000,Hindi,5.5,0.4035
Har Dil Jo Pyar Karega,04-08-2000,Hindi,5.5,0.5217
Kahin Pyaar Na Ho Jaaye,17-11-2000,Hindi,5.2,0.4107
Dhadkan,11-08-2000,Hindi,6.4,0.5905
Mission Kashmir,27-10-2000,Hindi,6.3,0.5275
Khiladi 420,29-12-2000,Hindi,4.9,0.4194
Fiza,08-09-2000,Hindi,6.2,0.3736
Phir Bhi Dil Hai Hindustani,21-01-2000,Hindi,6.6,0.4671
Dulhan Hum Le Jayenge,20-03-2000,Hindi,5.6,0.3475
Bichhoo,07-07-2000,Hindi,4.5,0.413
Dil Hi Dil Mein,21-04-2000,Hindi,6,0.5929
Pukar,04-02-2000,Hindi,6.6,0.4478
Refugee,30-06-2000,Hindi,5.7,0.4971
Khauff,02-03-2000,Hindi,4.4,0.512
Jungle,14-07-2000,Hindi,6,0.2751
Raju Chacha,21-12-2000,Hindi,5.9,0.3674
Kurukshetra,03-10-2000,Hindi,6.4,0.4048
Tera Jadoo Chal Gayaa,18-08-2000,Hindi,4,0.2552
Kunwara,14-07-2000,Hindi,5.2,0.3639
Aaghaaz,06-10-2000,Hindi,2,0.2481
Hadh Kar Di Aapne,14-04-2000,Hindi,4.826,0.3165
Bulandi,07-01-2000,Hindi,5.7,0.3311
Gang,14-04-2000,Hindi,5,0.2319
Joru ka Ghulam,15-06-2000,Hindi,5.923,0.2548
Ghaath,01-12-2000,Hindi,0,0.2552
Gaja Gamini,01-12-2000,Hindi,6.7,0.2796
Champion,22-12-2000,Hindi,3.8,0.2212
Jung,12-05-2000,Hindi,4.1,0.2494
Raja Ko Rani Se Pyar Ho Gaya,22-12-2000,Hindi,0,0.2187
Dil Pe Mat Le Yaar!!,29-09-2000,Hindi,0,0.1745
Tapish,01-01-2000,Hindi,0,0.0168
Kya Kehna,18-05-2000,Hindi,5.7,0.2431
Witness,09-07-2000,Hindi,0,0.25
Karobaar,15-09-2000,Hindi,7,0.1631
Jwalamukhi,02-01-2000,Hindi,10,0.2429
Beti No. 1,10-11-2000,Hindi,3.5,0.2172
Chal Mere Bhai,04-05-2000,Hindi,5.1,0.4893
Dhaai Akshar Prem Ke,29-07-2000,Hindi,5.9,0.2164
Hamara Dil Aapke Paas Hai,24-08-2000,Hindi,5.6,0.2968
Papa the Great,18-03-2000,Hindi,6,0.2279
Hum To Mohabbat Karega,26-05-2000,Hindi,3.5,0.1928
Deewane,11-08-2000,Hindi,5.2,0.2046
Agniputra,01-01-2000,Hindi,10,0.2139
Shikaar,19-07-2000,Hindi,4,0.1532
Kaali Topi Lal Rumaal,15-09-2000,Hindi,0,0.1951
Baaghi,07-04-2000,Hindi,5,0.3178
Hari-Bhari,07-01-2000,Hindi,5,0.1692
Astitva,06-10-2000,Hindi,5.9,0.1949
Bhootni,01-01-2000,Hindi,3,0.3154
Bawandar,17-11-2000,Hindi,6,0.1745
Shikari,06-10-2000,Hindi,4.6,0.2926
Daku Ganga Jamuna,15-09-2000,Hindi,4,0.1196
Khooni Kangan,01-01-2000,Hindi,0,0.0974
Kaala Mandir,21-07-2000,Hindi,0,0.1004
Last Train To Mahakali,25-01-2000,Hindi,6.2,0.1709
Mere Aagosh Mein,01-01-2000,Hindi,2,0.119
Sant Gyaneshwar,10-03-2000,Hindi,8,0.0885
Vikrut,11-01-2000,Hindi,0,0.076
Ek Ajooba,28-07-2000,Hindi,9.5,0.1164
Aaj Ka Ravan,29-09-2000,Hindi,10,0.1154
Do Hafte Guzarte Do Hafte Nahin Lagte,01-01-2000,Hindi,0,0.1185
