Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Bagheera,2024-10-31,Kannada,Sriimurali,Rukmini Vasanth,B. Ajaneesh Loknath,"Dismayed by corruption and violence, a virtuous police officer becomes a masked vigilante to dliver lethal justice to criminals and crooked cops alike.",4.9,2.1191
Martin,2024-10-11,Kannada,Dhruva Sarja,Vaibhavi Shandilya,Mani Sharma,"Martin revolves around Lt. Brigadier Arjun Saxena, whose journey takes him from Pakistan to India to discover his real identity and fight against black market dealers, who are involved with terrorists to orchestrate massive attacks in the country.",2.2,2.1076
Bheema,2024-08-09,Kannada,Duniya Vijay,Kalyani Raju,Charan Raj,"Bheema, a gangster, wages a war against Dragon Manju, an aspiring politician and drug dealer, for supplying drugs in his locality and making the youngsters to become drug addicts.",0.0,2.0891
Ibbani Tabbida Ileyali,2024-09-05,Kannada,Vihan Gowda,Girija Shettar,Gagan Bederiya,"What defines love? Memories that you can fondly look at? Tomorrow's dream of togetherness? Or the longing after separation?  Ibbani Tabbida Ileyali is a poetic tale of romance that intends to celebrate unconditional love. An attempt to capture the essence of yesterday's romance, the relevance of today's and the perpetual nature of it that can stand the test of the future!  We aspire to make you sing, smile, dance and savour the sweet melancholy. A story that spans a decade encapsulating the days of college, career aspirations and adulthood! Urban cityscape, the greens and more importantly the dreamy atmospherics. There's a scent of summer, the warmth of winter and the melody of monsoon!",8.0,1.243
Case of Kondana,2024-01-26,Kannada,Vijay Raghavendra,Bhavana,Gagan Baderiya,"In the outskirts of Bangalore lies Kondana, a fiery ASI in a fictional Bangalore outpost, clashing with a local gangster. Meanwhile, his love life with Sahana faces hurdles. ACP Lakshmi hunts a notorious criminal, while Raju struggles to save his ailing son. As these lives intertwine, a singular case in Kondana becomes the focal point, linking them all in a tale of mystery and connection.",5.0,1.2753
Juni,2024-02-09,Kannada,Pruthvi Ambaar,Vinaya Prasad,Nakul Abhyankar,"Based on a real story, Partha, an easy-going cafe owner, falls in love with an artist named Juni, only to discover that she has a multiple personality disorder. Will love stand the test of societal stigma?",0.0,0.7301
Yuva,2024-03-28,Kannada,Yuva Rajkumar,Sapthami Gowda,B. Ajaneesh Loknath,"Love blooms amid conflicts between insiders and outsiders at an engineering college, but soon conflict escalates into war.",2.0,0.8396
MAX,2024-12-25,Kannada,Sudeep,Varalaxmi Sarathkumar,B. Ajaneesh Loknath,A maverick senior cop reports for duty at a new police station and soon find himself embroiled in an unexpectedly dangerous turn of events.,5.0,0.8423
Avatara Purusha 2,2024-04-05,Kannada,Sharan,Ashika Ranganath,Abhinandan Kashyap,"In a battle of mantras, Dharka and Brahma vie for the Trishanku Mani. But when Jois is found dead, the disturbed Ashta Dhigbandana alerts Dharka to the stone`s presence in the house. Now, a junior artist posing as the long-lost son must fight to save the family from the real son`s dark magic",3.571,0.6307
UI,2024-12-20,Kannada,Upendra,Reeshma Nanaiah,B. Ajaneesh Loknath,"Set in a fictional world, the story is about the psychological conflict between a king in a town and an extraordinary man, and how that man, through his cunning and master minded plans takes over everything, takes control of the entire town, becomes a dictator.",5.8,0.6722
Ondu Sarala Prema Kathe,2024-02-08,Kannada,Vinay Rajkumar,Swathishta Krishnan,Veer Samarth,"Athishay is a young man who wants to become a music director. Anu is a kind hearted and caring woman. When it comes to love, being a musician Athishay dreams of a woman who matches the rhythm of his heartbeat, and Anu is waiting for a person who is genuine & wishes good for others without expecting anything in return. In a twist of fate, Athisay and Anu get married to each other. However, they do not lose hope and continue their quest for true love.",0.0,0.5655
Blink,2024-03-08,Kannada,Dheekshith Shetty,Chaithra J Achar,Prasanna Kumar,"Apoorva, a 24-year-old in Bengaluru, conceals his failed MA from his mother. Juggling part-time jobs, he relies on his love interest, Swapna, for support. Apoorva's unique ability to control blinking becomes a curse when a mysterious old man reveals his father's survival.",0.0,0.5125
Matinee,2024-04-05,Kannada,Sathish Ninasam,Rachita Ram,Poornachandra Tejaswi,"Arun owns a property in Bangalore where he invites his friends for a reunion. However, Arun receives an offer for the place but along with his friends, he is trapped in the house.",0.0,0.466
Bhairathi Ranagal,2024-11-14,Kannada,Shivaraj Kumar,Chaya Singh,Ravi Basrur,The story revolves around the life of Bhairathi Ranagal's journey from being a law-abiding responsible lawyer to the benevolent crime boss of Karnataka.,8.3,0.788
Chef Chidambara,2024-06-14,Kannada,Sharath Lohitashwa,Nidhi Subbaiah,Rithwik Muralidhar,"Chidambara, a professional chef, tries to help a rich lady in return she would help him out of his financial crisis but gets entangled when a person dies at his flat. Can Chidambara get out of this mess?",0.0,0.5123
O2,2024-04-19,Kannada,Praveen Tej,Ashika Ranganath,Vivan Radhakrishna,"A brilliant doctor battles her childhood trauma, to revive the dead with an illegal intravenous oxygen drug. Her quest challenges the boundaries of science, spirituality, and love. Will she succeed or lose everything!",0.0,0.7732
Love Li,2024-06-14,Kannada,Vasishta N. Simha,Stefy Patel,J Anoop Seelin,"An orphan grows up to become a gangster who finds love. However, he faces a critical situation where he risks losing everything.",0.0,0.4218
Sanju Weds Geetha 2,2024-04-01,Kannada,Sadhu Kokila,Rachita Ram,V. Sridhar,Sequel to Sanju Weds Geetha (2011).,0.0,0.4146
Kotee,2024-06-14,Kannada,Dhananjay,Tara,Vasuki Vaibhav,"In his quest for an honest fortune to provide for his sister's marriage and a future in the corrupt Janatha city, a truthful common man- Kotee defies the powerful gang leader Dinoo Saavkaar. When Kotee's defiance leads to mounting debts, he faces a life-altering choice to Eliminate Or be Eliminated",0.0,0.4609
Karataka Damanaka,2024-03-08,Kannada,Shivaraj Kumar,Nishvika Naidu,V. Harikrishna,A jailer sends two fraudsters to his village to convince and get his adamant father to the city. But the frauds do something extraordinary than the task!,2.0,0.371
Kreem,2024-03-01,Kannada,Achyuth Kumar,Samyuktha Hegde,Rohit Sower,"A neo-noir thriller based on an incredible true story/account. A mysterious girl infiltrates an order, a cult that practices human sacrifice for wealth and power.",0.0,0.3286
Bachelor Party,2024-01-26,Kannada,Diganth Manchale,Siri Ravikumar,Arjun Ramu,A man dissatisfied in his marriage is persuaded to attend the bachelor party of an old friend.,0.0,0.5228
Krishnam Pranaya Sakhi,2024-08-15,Kannada,Ganesh,Malavika Nair,Arjun Janya,"Krishna, a business tycoon, meets Pranaya, an orphan who runs an orphanage. Krishna, worried that his socio-economic status may separate him from Pranaya, pretends to be a driver and becomes employed by Pranaya. Pranaya soon learns about Krishna's identity, but she later accepts his love.",8.5,0.3222
Laughing Buddha,2024-08-30,Kannada,Pramod Shetty,Teju Belawadi,Vishnu Vijay,Explores the life and personal struggles of a police head constable.,5.0,0.3234
Upadhyaksha,2024-01-25,Kannada,Chikkanna,Veena Sundar,Arjun Janya,Upcoming Kannada film,0.0,0.3074
Mr. Natwarlal,2024-02-23,Kannada,Nagabhushana N S,Sonal Monteiro,Dharma Vish,"Inspired by the biggest con king of India from the 1950s whose expertise in hacking and online manipulations makes him uncatchable, earning the title of Mr. Natwarlal.",0.0,0.2339
Abbabba,2024-02-16,Kannada,Likith Shetty,Amrutha Iyengar,Deepak Alexander,Remake of the Malayalam film Adi Kapyare Kootamani,0.0,0.1469
Saramsha,2024-02-15,Kannada,Surya Vasishta,Sruthi Hariharan,Udith Haritas,"Tejas, an aspiring writer's world bizarrely collides with Abhay's one evening. A drama begins to unfold as he comes face to face with a character of his story - asking whether a writer writes the story, or does the story choose its writer?",0.0,0.1463
For Regn,2024-02-23,Kannada,Pruthvi Ambaar,Milana Nagaraj,RK Harish,The protagonists play dual roles to escape a self-created chakravyuha. Will they get out of the mess or get dragged further into it?,0.0,0.1972
Mafia,2024-07-26,Kannada,Prajwal Devaraj,Aditi Prabhudeva,J Anoop Seelin,,0.0,0.1601
Aaram Aravind Swamy,2024-11-22,Kannada,Anissh,Milana Nagaraj,Arjun Janya,"This feel-good tale follows Arvind, a city recovery agent with a perfect girlfriend. When she urges him to confront their parents about marriage, he avoids the issue, triggering a series of comedic events that change his life. It`s a light-hearted exploration of love and commitment amidst his escapist tendencies",0.0,0.1422
Murphy,2024-10-18,Kannada,Prabhu Mundkur,Roshini Prakash,Arjun Janya,"MURPHY, starring Prabhu Mundkur, Roshini Prakash and Ila Veermalla,It is an  ode to the beauty and the struggle of bringing in the essence of familial bonds, friendship and  above all love in the era of dispassion.",9.0,0.2205
Lineman,2024-03-15,Kannada,Thrigun,Apoorva,Manikanth Kadri,"In the quaint village of Chandakavadi, Nata is a dynamic, educated, and principled young man employed as a lineman, responsible for managing the power supply in the area. Amidst them resides Sharadamma, an elderly midwife renowned for conducting countless successful deliveries. As the townsfolk prepare to celebrate Sharadamma's remarkable 100th birthday, she persuades the entire village to endure a few days without electricity until the celebration concludes. The film questions whether the villagers of Chandakavadi withstand the challenges until power is restored.",0.0,0.1264
Maryade Prashne,2024-11-22,Kannada,Sunil Raoh,Teju Belawadi,Arjun Ramu,"Maryade Prashne is a compelling slice-of-life story set in the lower-middle-class neighbourhood of Chamrajpete in Bengaluru. The film centres on three close friends, Suri, Manja, and Sathish, whose lives are tragically altered during what should have been a joyful birthday celebration. As they navigate the challenges of their daily struggles, the movie delves deep into themes of friendship, loyalty, and the pursuit of justice for a loved one.",6.0,0.157
Abracadabra,2024-03-02,Kannada,Anant Nag,Siri Ravikumar,Neehar K Dabade,"A retired widower tries to make sense of a lived life, confronted by questions he hasn’t dared to ask himself. Alongside is a young woman’s quest for identity while navigating relationships that have kept her tied down. Hustling through this world is a Magician, who dreams of becoming a grand illusionist, the best that can be. Also, a part of this world is a young man caught in a place he doesn’t want to be in, meandering to find himself in a mess that he cannot climb out of.",0.0,0.1881
"Karki Nanu BA, LLB",2024-09-20,Kannada,Sadhu Kokila,Meenakshi Dinesh,Arjun Janya,The film portrays the struggles faced by Muthuraj who gets caught in caste-based discrimination and how his resilience and courage help him challenge deep-rooted societal norms.,0.0,0.1521
Kaalapatthar,2024-09-13,Kannada,Vikky Varun,Dhanya Ramkumar,J Anoop Seelin,"Shankar, who serves in the Indian Army. In his hometown of Mudalpur, a statue is erected, leading to a series of confusion. Shankar returns to the town, facing the dilemma of whether to safeguard the idol or quell the unrest among the people.",0.0,0.2294
Chilli Chicken,2024-06-21,Kannada,Bijou Thaangjam,Harini Sundararajan,Siddhanth Sundar,"Chilli Chicken follows the lives of five Northeastern boys working at a Chinese restaurant. Based on true events, this film is written and directed by Prateek Prajosh. The cast includes BV Shrunga (known for ""19.20.21""), Manipur actor Bijou Thaangjam (from ""Mary Kom""), Jimpa Sangpo, alongside Harini Sundararajan, Victor Thoudam, Nityashree, Padmaja Rao, and others.  This movie promises to captivate audiences with its unique blend of social commentary, drama, and comedy.",4.0,0.1244
Powder,2024-04-05,Kannada,Diganth Manchale,Dhanya Ramkumar,Sean Roldan,A small village and revolves around a group of miscreants in pursuit of a valuable treasure.,0.0,0.1725
Chow Chow Bath,2024-03-15,Kannada,Sagar Gowda,Aruna Balaraj,Hemanth Jois,"Six people are at various stages of life: Sachin proposes to Saanvi, but she is skeptical because her elder sister is unmarried. Shashi sees the love of his life when he is at the Railway station to pick his mother up. Sathya, up to no good at a medical camp, falls in love with a girl he meets there.",0.0,0.0758
Venus: Try Flap,2024-10-31,Kannada,Sagar M.S,Bindu,Sagar M.S,"In the bustling, mist-laden Silicon City of 2028, Shukra stumbles upon a mysterious bag of oranges. What seems like a trivial discovery quickly spirals into an unexpected journey, which pulls him deeper into a web of unlikely encounters.",0.0,0.1588
Ramana Avatara,2024-05-10,Kannada,Rishi,Pranitha Subhash,Judah Sandhy,"A jovial guy named Rama Krishna who wants to be a political leader, goes through a series of uncontrollable situations that end up being lessons of life and help him become a true leader.",0.0,0.0806
