Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Alaipayuthey,14-04-2000,Tamil,R. Madhavan,Shalini,A.R. Rahman,"Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be.",7.3,1.7744
Vetri Kodi Kattu,30-06-2000,Tamil,Murali,Meena,Deva,"Vetri Kodi Kattu is a Tamil film directed by Cheran starring Murali, Parthiban, Meena, Manorama and Malavika. It is about 2 men who find the way to prosperity with their effort in their own country after being cheated by a man who promised them a lucrative job in Dubai.",6.1,1.4461
Kushi,19-05-2000,Tamil,Vijay,Jyothika,Deva,"College friends Jenny and Shiva part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting.",6.9,1.3623
Hey Ram,18-02-2000,Tamil,Kamal Haasan,Vasundhara Das,Ilaiyaraaja,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.,7.1,1.3775
Kandukondain Kandukondain,05-05-2000,Tamil,Ajith Kumar,Tabu,A.R. Rahman,Two young women with differing views on love find themselves with three suitors in this modern take on Jane Austen's 'Sense and Sensibility' set in Tamil Nadu.,6.9,1.2353
Kandha Kadamba Kathir Vela,05-05-2000,Tamil,Prabhu,Roja Selvamani,S A Rajkumar,"A strict mother rejects her daughter for marrying a poor man and seeks rich women for her sons. However, all hell breaks loose when the sons too fall in love with women from poor families.",7,0.8196
Sabhash,01-09-2000,Tamil,R. Parthiban,Divyaa Unni,Deva,"The movie opens with Cheenu, who is blind, and his good friend Dharan finding out that Cheenu's wife Shanti has died by hanging herself from the ceiling of their house. The police close the case as a suicide but mysterious happenings force Cheenu to suspect that his wife may have been the victim of foul play. Evidence surfaces which points to Dharan's guilt. But he resolutely maintains that he is innocent while Cheenu too believes his friend.",6,0.8632
Ennavale,22-12-2000,Tamil,R. Madhavan,Sneha,S A Rajkumar,"When a man and his friends start a music troupe that performs at weddings, he is highly motivated by his landlord's daughter.",0,0.8006
Rhythm,15-09-2000,Tamil,Arjun Sarja,Meena,A.R. Rahman,"Karthikeyan, a photo editor in Mumbai, is a widower whose parents wish to see him settled and happy. Chitra, a widow with a son, gives them hope, unaware that their pasts are intertwined.",7.7,0.8412
Palayathu Amman,28-10-2000,Tamil,Ramki,Meena,S A Rajkumar,A newly married couple give birth to a baby who is the reincarnation of goddess Devi; the goddess takes human form to battle evil.,7,0.686
Vanna Thamizh Paatu,17-11-2000,Tamil,Prabhu,Vaijayanthi,S A Rajkumar,"The secret son-in-law of an influential family, where everyone hates love and romance, arrives posing as a servant in order to gain their affection.",0,0.7449
Priyamaanavale,26-10-2000,Tamil,Vijay,Simran,S A Rajkumar,"A modern man, Vijay, marries his father's sincere secretary who hails from a poor family. But their stringent prenuptial agreement grants him the power to end his marriage after 12 months.",6.6,0.6172
Mugavari,02-02-2000,Tamil,Ajith Kumar,Jyothika,Deva,"Sridhar, an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success.",6.6,0.677
Sudhandhiram,25-02-2000,Tamil,Arjun Sarja,Rambha,S A Rajkumar,"The film features Arjun and Rambha in lead roles whilst Raghuvaran, Raadhika and Sharat Saxena play supporting roles.",5,0.5258
Vallarasu,14-04-2000,Tamil,Vijayakanth,Devayani,Deva,"Vallarasu is the honest Deputy Commissioner of Police who has arrested Wasim Khan, a terrorist from Pakistan. His wife is Anjali, and they both have two children. Vallarasu kills his senior police officer and father-in-law because he knows the latter is working alongside terrorists.",5.7,0.454
Budget Padmanabhan,08-09-2000,Tamil,Prabhu,Ramya Krishnan,S A Rajkumar,"Padmanabhan has earned the nickname Budget as he is a miser. However, he struggles to save his father's house from money lenders as his wife is a spendthrift and never lets him save enough.",5.625,0.4303
