Title,Release Date,Language,Vote Average,Popularity
Alaipayuthey,14-04-2000,Tamil,7.3,0.889
Vetri Kodi Kattu,30-06-2000,Tamil,6.1,0.4809
Mugavari,02-02-2000,Tamil,6.6,0.4454
Kandukondain Kandukondain,05-05-2000,Tamil,6.9,0.406
Hey Ram,18-02-2000,Tamil,7.1,0.5445
Rhythm,15-09-2000,Tamil,7.7,0.5416
Kushi,19-05-2000,Tamil,6.9,0.335
Sabhash,01-09-2000,Tamil,6,0.291
Palayathu Amman,28-10-2000,Tamil,7,0.408
Ennavale,22-12-2000,Tamil,0,0.3416
Pennin Manathai Thottu,01-08-2000,Tamil,0,0.2928
Thenali,26-10-2000,Tamil,6.9,0.3229
Koodi Vazhnthal Kodi Nanmai,15-07-2000,Tamil,5.2,0.3062
James Pandu,21-04-2000,Tamil,0,0.2317
Uyirile Kalanthathu,23-09-2000,Tamil,4.9,0.2653
Vanna Thamizh Paatu,17-11-2000,Tamil,0,0.2415
Maayi,21-08-2000,Tamil,5,0.1825
Sandhitha Velai,14-04-2000,Tamil,0,0.2353
Snegithiye,24-11-2000,Tamil,7,0.2564
Unnai Kodu Ennai Tharuven,25-05-2000,Tamil,5,0.292
Appu,31-03-2000,Tamil,6.5,0.2187
Priyamaanavale,26-10-2000,Tamil,6.6,0.1888
Sudhandhiram,25-02-2000,Tamil,5,0.2213
Kandha Kadamba Kathir Vela,05-05-2000,Tamil,7,0.265
Vallarasu,14-04-2000,Tamil,5.7,0.2091
Unnai Kann Theduthey,01-09-2000,Tamil,0,0.1441
Vasantham,01-05-2000,Tamil,0,0.2054
Vaanathaippola,13-01-2000,Tamil,6.5,0.2341
Kannaal Pesavaa,21-08-2000,Tamil,0,0.1714
Kaadhal Rojave,14-01-2000,Tamil,5,0.1942
Vaanavil,27-10-2000,Tamil,5.5,0.1419
Athey Manithan,28-04-2000,Tamil,0,0.1344
Budget Padmanabhan,08-09-2000,Tamil,5.625,0.1207
Kannukkul Nilavu,14-01-2000,Tamil,6.2,0.1794
Kannan Varuvaan,25-05-2000,Tamil,0,0.1544
Rajakali Amman,14-04-2000,Tamil,0,0.1566
Ennamma Kannu,16-06-2000,Tamil,0,0.1292
Kannukku Kannaga,26-10-2000,Tamil,0,0.1512
Pottu Amman,08-12-2000,Tamil,6,0.1442
Eazhaiyin Sirippil,03-02-2000,Tamil,7,0.2012
Parthen Rasithen,11-08-2000,Tamil,7,0.0934
Thai Porandaachu,19-02-2000,Tamil,5.5,0.1011
Bharathi,01-09-2000,Tamil,0,0.127
Karisakattu Poove,23-06-2000,Tamil,0,0.1062
Kakkai Siraginilae,09-03-2000,Tamil,0,0.0663
Krodham 2,01-09-2000,Tamil,0,0.1454
Manu Neethi,23-12-2000,Tamil,2,0.0589
Doubles,11-08-2000,Tamil,0,0.0486
Veeranadai,21-04-2000,Tamil,0,0.0505
Dhill,05-05-2001,Tamil,5.3,0.9687
Minnale,18-02-2001,Tamil,7,1.9351
Friends,14-01-2001,Tamil,6.7,0.7218
Samuthiram,31-08-2001,Tamil,6,0.521
Rishi,16-02-2001,Tamil,3,0.4952
Dheena,14-01-2001,Tamil,5.8,0.4562
