Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Salaar: Part 1 - Ceasefire,21-12-2023,Telugu,Prabhas,Shruti Haasan,Ravi Basrur,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",6.804,8.9197
Hi Nanna,07-12-2023,Telugu,Nani,Mrunal Thakur,Hesham Abdul Wahab,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",7.772,7.1967
Amigos,10-02-2023,Telugu,Kalyan Ram,Ashika Ranganath,Ghibran,"Siddharth, a youngman who runs a family business is astonished to find his doppelgängers Manjunath and Michael on getdopple.com. After meeting up in Goa, they come down to Hyderabad to help Siddarth win over Ishika, a girl looking for superman to be her husband. But things take a drastic turn when NIA swings into action to nab Michael, aka Bipin Roy.",4.7,2.4025
Agent,27-04-2023,Telugu,Akhil Akkineni,Sakshi Vaidya,HipHop Tamizha Jeeva,"Ramakrishna aka Ricky's only one goal in life is to be a RAW recruitee and undertake some Planet-saving mission. Mahadev, RAW head, ropes him in for the most important mission ever known and unknown to even the Prime Minister of India. Ricky must tame The God, the megalomaniacal lynchpin of a giant-sized crime syndicate.",4.667,2.3853
Devil,29-12-2023,Telugu,Kalyan Ram,Samyuktha,Harshavardhan Rameshwar,"A British secret agent takes up the job of solving a dark mystery. He is led into a web of love, deceit and betrayal. His success and failure can change the course of history.",6.7,1.3555
Bhola Shankar,10-08-2023,Telugu,Chiranjeevi,Keerthy Suresh,Mahati Swara Sagar,"A reformed gangster now taxi driver unwittingly draws the vengeance of a crime syndicate after aiding the police in busting a smuggling operation. Fueled by a burning desire for justice and to protect his adopted sister, he embarks on a relentless quest to hunt down the mobsters responsible.",4.8,1.5064
Tiger Nageswara Rao,20-10-2023,Telugu,Ravi Teja,Gayatri Bhardwaj,G. V. Prakash Kumar,"Based on the life of the notorious thief Nageswara Rao, who was the most wanted thief of south India& managed to evade the authorities on several occasions in the 1970s, earning him the moniker of 'Tiger.'",5.9,1.1938
MAD,06-10-2023,Telugu,Sangeeth Shobhan,Sri Gouri Priya Reddy,Bheems Ceciroleo,"Set in an engineering college and revolves around the antics of the students there, primarily the boys, who get a kick out of torturing the hostel warden.",6.273,1.8446
Virupaksha,20-04-2023,Telugu,Sai Durgha Tej,Samyuktha,B. Ajaneesh Loknath,"Set in a village named Rudravanam in 1990's, Surya along with his mother, visit there after a long time. Suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. Will Surya find the person causing the deaths and save the village?",7.1,1.3566
Dasara,30-03-2023,Telugu,Nani,Keerthy Suresh,Santhosh Narayanan,"In 1990s, Set in small village Veerlapally, Dharani, Vennela, and Suri are childhood friends. Dharani loves Vennela, but she has Suri in her mind. Knowing Suri’s interest in Vennela, Dharani sacrifices his love and helps get them married. But Local politics between Rajanna, Shivanna and the latter's son Chinna Nambi threaten to disrupt their lives.",7,1.6104
Bhagavanth Kesari,19-10-2023,Telugu,Nandamuri Balakrishna,Sreeleela,S. Thaman,"Bhagavanth Kesari's life takes an unexpected turn when he becomes the guardian of Vijaya Lakshmi aka Vijji, daughter of his jailer. Kesari, with his unwavering sense of justice, embarks on a journey to nurture Vijji into a resilient young woman aspiring to join the Indian army. Intertwined in this narrative is the presence of Rahul Sanghvi, a power-hungry tycoon whose connection with Bhagavanth and Vijji, unravels hidden secrets.",5.8,3.4987
Waltair Veerayya,13-01-2023,Telugu,Chiranjeevi,Shruti Haasan,Devi Sri Prasad,"A notorious smuggler Waltair Veerayya is hired by a CI Seethapathi, reaches Malaysia with the ostensible mission of kidnapping a drug mafia leader named Solomon, who escaped India after wreaking havoc on the RAW agents and local policemen. Veerayya manages to pummel Solomon, who is fiercely protected by his ruthless gang-lord brother Kaala. Tables are turned, when Veerayya reveals that he shares a turbulent past with Kaala & an ACP Vikram Sagar who is hell-bent on ending his smuggling activities.",5.4,1.3752
Baby,14-07-2023,Telugu,Anand Deverakonda,Vaishnavi Chaitanya,Vijai Bulganin,A pair of high school sweethearts face challenges in their relationship when they take different directions in life.,6.3,0.7174
Ramabanam,05-05-2023,Telugu,Gopichand,Dimple Hayathi,Mickey J Meyer,"Years after running away from his pacifist brother Rajaram, Vicky lives as a gangster in Kolkata. When Vicky returns home, Rajaram's organic food business empire is in the doldrums because his rival GK is conspiring against it. Can Vicky save his brother's business in time and teach GK a lesson?",3.7,1.8952
