Title,Release Date,Language,Hero,Heroine
Azaad,29-09-2000,Telugu,Nagarjuna Akkineni,Soundarya
Badri,20-04-2000,Telugu,Pawan Kalyan,Ameesha Patel
Ninne Premistha,14-09-2000,Telugu,Srikanth,Soundarya
Bagunnara?,08-05-2000,Telugu,Srihari,Priya Gill
Devullu,09-11-2000,Telugu,Babloo Prithiveeraj,Nitya Shetty
Kalisundam Raa,14-01-2000,Telugu,Venkatesh,Simran
Nuvve Kavali,13-10-2000,Telugu,Tarun,Richa Pallod
Sammakka Sarakka,15-01-2000,Telugu,Suman Talwar,Ramya Krishnan
Vamsi,04-10-2000,Telugu,Mahesh Babu,Namrata Shirodkar
Nuvvu Vastavani,05-04-2000,Telugu,Nagarjuna Akkineni,Simran
Vamsodharakudu,14-01-2000,Telugu,Nandamuri Balakrishna,Ramya Krishnan
Tirumala Tirupati Venkatesa,21-12-2000,Telugu,Ravi Teja,Maheswari
Kodanda Ramudu,01-01-2000,Telugu,J. D. Chakravarthi,Rambha
Yuvaraju,14-04-2000,Telugu,Mahesh Babu,Simran
Manoharam,13-05-2000,Telugu,Jagapati Babu,Laya
Annayya,07-01-2000,Telugu,Chiranjeevi,Soundarya
Chitram,25-05-2000,Telugu,Uday Kiran,Reema Sen
Chiru Navvuto,10-11-2000,Telugu,Venu Thottempudi,Prema
Chala Bagundi,18-02-2000,Telugu,Srikanth,
Jayam Manadera,07-10-2000,Telugu,Venkatesh,Soundarya
Kshemanga Velli Labhamga Randi,04-02-2000,Telugu,Srikanth,Roja Selvamani
Manasunna Maraju,01-01-2000,Telugu,Dr. Rajasekhar,Laya
Yuvakudu,01-01-2000,Telugu,Sumanth,Bhumika Chawla
Goppinti Alludu,21-07-2000,Telugu,Nandamuri Balakrishna,Simran
Hands Up,09-02-2000,Telugu,Nagendra Babu,Jayasudha
Dollar Dreams,02-01-2000,Telugu,Anish Kuruvilla,Satya Krishnan
Moodu Mukkalaata,01-09-2000,Telugu,Jagapati Babu,Soundarya
Okkadu Chaalu,01-01-2000,Telugu,Dr. Rajasekhar,Rambha
Ravanna,03-03-2000,Telugu,Dr. Rajasekhar,Soundarya
Oke Maata,01-01-2000,Telugu,Upendra,Ramya Krishnan
Bachi,09-11-2000,Telugu,Jagapati Babu,
Mechanic Mavayya,14-10-2000,Telugu,Dr. Rajasekhar,Rambha
Ammo! Okato Tareekhu,20-10-2000,Telugu,L. B. Sriram,Raasi
Kouravudu,28-07-2000,Telugu,Nagendra Babu,Ramya Krishnan
Murari,17-02-2001,Telugu,Mahesh Babu,Sonali Bendre
Khushi,26-04-2001,Telugu,Pawan Kalyan,Bhumika Chawla
Nuvvu Naaku Nachav,06-09-2001,Telugu,Venkatesh,Aarthi Agarwal
Manasantha Nuvve,19-10-2001,Telugu,Uday Kiran,Reema Sen
Student No. 1,27-09-2001,Telugu,N.T. Rama Rao Jr.,Gajala
Sri Manjunatha,22-06-2001,Telugu,Arjun Sarja,Soundarya
Daddy,03-10-2001,Telugu,Chiranjeevi,Simran
Priyamaina Neeku,11-02-2001,Telugu,Tarun,Sneha
Hanuman Junction,21-12-2001,Telugu,Arjun Sarja,Sneha
Mrugaraju,11-01-2001,Telugu,Chiranjeevi,Simran
Family Circus,01-06-2001,Telugu,Jagapati Babu,Roja Selvamani
Simharasi,06-07-2001,Telugu,Dr. Rajasekhar,Sakshi Shivananda
Sampangi,13-07-2001,Telugu,Arjan Bajwa,Sana
Ammo Bomma,04-05-2001,Telugu,Rajendra Prasad,
Narasimha Naidu,11-01-2001,Telugu,Nandamuri Balakrishna,Simran
Nuvvu Nenu,10-08-2001,Telugu,Uday Kiran,Telangana Sakuntala
Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi,02-02-2001,Telugu,Srikanth,Raasi
Anandam,28-09-2001,Telugu,Chandramohan,Rekha Vedavyas
Budget Padmanabham,09-03-2001,Telugu,Jagapati Babu,Ramya Krishnan
Ammayi Kosam,18-05-2001,Telugu,Ravi Teja,Meena
Devi Putrudu,14-01-2001,Telugu,Venkatesh,Soundarya
Ninnu Choodalani,23-05-2001,Telugu,N.T. Rama Rao Jr.,Raveena Rajput
Subbu,21-12-2001,Telugu,N.T. Rama Rao Jr.,Sonali Joshi
Cheppalani Vundhi,23-08-2001,Telugu,Prakash Raj,Raasi
Premato Raa,09-05-2001,Telugu,Venkatesh,Simran
Akasa Veedhilo,23-08-2001,Telugu,Nagarjuna Akkineni,Raveena Tandon
Naalo Unna Prema,01-09-2001,Telugu,Jagapati Babu,Laya
Chiranjeevulu,21-09-2001,Telugu,Ravi Teja,Sanghavi
Itlu Sravani Subramanyam,14-09-2001,Telugu,Ravi Teja,Annapoorna
Tholi Valapu,21-12-2001,Telugu,Gopichand,Sneha
Bhalevadivi Basu,15-06-2001,Telugu,Nandamuri Balakrishna,Shilpa Shetty Kundra
Bava Nachadu,07-06-2001,Telugu,Nagarjuna Akkineni,Simran
6 Teens,16-03-2001,Telugu,Vijaya Bhaskar,Rakhi Sawant
Raa,01-11-2001,Telugu,Upendra,Priyanka Upendra
Snehamante Idera,26-10-2001,Telugu,Nagarjuna Akkineni,Bhumika Chawla
Eduruleni Manishi,30-03-2001,Telugu,Nagarjuna Akkineni,Soundarya
Time Pass,01-05-2001,Telugu,Ajay,
Preminchu,11-04-2001,Telugu,Sai Kiran,Laya
Maa Pelliki Randi,20-03-2001,Telugu,J. D. Chakravarthi,Sakshi Shivananda
Aadi,28-03-2002,Telugu,N.T. Rama Rao Jr.,Keerthi Chawla
Indra,24-07-2002,Telugu,Chiranjeevi,Sonali Bendre
Jayam,14-06-2002,Telugu,Nithiin,Sadha
Manmadhudu,20-12-2002,Telugu,Nagarjuna Akkineni,Sonali Bendre
Vasu,10-04-2002,Telugu,Venkatesh,Bhumika Chawla
Khadgam,29-11-2002,Telugu,Srikanth,Sangeetha Krish
Nuvve... Nuvve...,10-10-2002,Telugu,Tarun,Shriya Saran
Sontham,23-08-2002,Telugu,Sunil Varma,Namitha
Nee Sneham,02-12-2002,Telugu,Uday Kiran,Aarthi Agarwal
Bobby,31-10-2002,Telugu,Mahesh Babu,Aarthi Agarwal
Idiot,22-08-2002,Telugu,Ravi Teja,Rakshita
Allari,10-05-2002,Telugu,Allari Naresh,Shweta Agarwal
Chennakesava Reddy,22-09-2002,Telugu,Nandamuri Balakrishna,Shriya Saran
Sreeram,21-06-2002,Telugu,Uday Kiran,Anita Hassanandani Reddy
Takkari Donga,12-01-2002,Telugu,Mahesh Babu,Lisa Ray
Nuvvu Leka Nenu Lenu,14-01-2002,Telugu,Tarun,Aarthi Agarwal
Seema Simham,10-01-2002,Telugu,Nandamuri Balakrishna,Simran
Avunu Valliddaru Ishtapaddaru!,02-08-2002,Telugu,Ravi Teja,Kaveri
Thotti Gang,06-12-2002,Telugu,Allari Naresh,Gajala
