Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Yajamana,01-12-2000,Kannada,Vishnuvardhan,Prema,Rajesh Ramanathan,"Shankar sacrifices his own interests and refuses to marry in order to support and educate his younger brothers. However, his life changes when a girl falls in love with him.",0,0.4394
Shabdavedhi,02-01-2000,Kannada,Dr. Rajkumar,Jaya Prada,Hamsalekha,"Shabdavedi is about Sandeep Rajkumar, a strict police officer crusading against narcotics. The man is so straight that when his wife Jaya Prada refuses to reveal the identity of a key link in the drug ring that he is investigating. He beats her in lockup. Eventually he overcomes all the usual attempts to throw him off the chase like tarnishing his reputation and implicating him in lock-up death cases and tracks the ring down to its last man.",5.5,0.3494
Preethse,01-01-2000,Kannada,Upendra,Sonali Bendre,,"Preethse is a 2000 psychological thriller Kannada film starring Upendra, Shivrajkumar and Sonali Bendre.",0,0.2662
Sparsha,09-06-2000,Kannada,Sudeep,Sparsha Rekha,Hamsalekha,"Sudeep accidentally knocks down Radha on the railway tracks and she loses a leg. Guilt-ridden, he offers to marry her without letting her know that he was behind the accident.",5.7,0.2573
Durgada Huli,24-02-2000,Kannada,Sai Kumar,B. V. Radha,,An archaeologist races against time to find a buried treasure after someone kidnaps his family and holds them hostage to make a trade.,0,0.2176
Munnudi,27-10-2000,Kannada,H. G. Dattatreya,Tara,V. Manohar,"A film based around the life of a Muslim woman, Rukhia Begum, set in the coastal regions of Dakshina Kannada. She gets married to an Arab businessman who later deserts her. The story essays Rukhia Begum's struggles to protect her daughter.",0,0.1516
Preethsu Thappenilla,12-05-2000,Kannada,V. Ravichandran,Chitra Shenoy,V. Ravichandran,"A happy-go-lucky man falls head over heels in love with a girl at first sight. By a twist of fate, they become victims of a tragic incident, which takes their relationship to the next level.",0,0.0901
Husharagiri,01-01-2000,Kannada,,,Raja,An adult themed Kannada movie,0,0.0214
Usire,06-04-2001,Kannada,V. Ravichandran,Rachana Banerjee,Ilaiyaraaja,"The story revolves around Mutthu (Ravichandran) who works for the Zamindar Rudre Gowda (Prakash Raj). He falls in love with Gowda's daughter Chandri (Rachana). Chandri also feels the same way, however, their differing castes become a barrier and they hesitate to start a relationship. Will they get married towards the end is the crux of the story.",0,0.4958
Kotigobba,16-11-2001,Kannada,Vishnuvardhan,Priyanka Upendra,Deva,"A humble auto driver leads a happy and content life with his ambitious siblings. However, his siblings are unaware of their brother's past.",9,0.3947
neelambari,09-10-2001,Kannada,Devaraj,Ramya Krishnan,Paul Praveen Kumar,"Vinod, a reporter, and his crew arrive in Neela Betta to film a supernatural occurrence. However, things take a turn when after interviewing Akhila, a villager, the entire crew goes missing.",0,0.254
Huccha,06-07-2001,Kannada,Sudeep,Rekha Vedavyas,Rajesh Ramanathan,"Sachidananda, a popular student, wins the collegiate elections through influence and violence. Simultaneously, he makes some enemies and ends up falling in love with a conservative girl.",5.9,0.1541
Kotigalu Saar Kotigalu,27-12-2001,Kannada,Ramesh Aravind,Prema,,"Kotigalu Saar Kotigalu is a 2001 Kannada film directed by S. V Rajendra Singh Babu and produced by Jai Jagadish. The film stars Ramesh Aravind, S. Narayan, Mohan Shankar and Prema in lead roles. Music was composed by Hamsalekha.",0,0.2599
