Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Azaad,29-09-2000,Telugu,Nagarjuna Akkineni,Soundarya,Mani Sharma,"Azad (Telugu: ఆజాద్) is a 2000 Telugu film directed by Tirupathi Swamy. It stars Akkineni Nagarjuna in the lead role and Raghuvaran, Shilpa Shetty, and Soundarya in other important roles. C. Ashwini Dutt produced the film and Mani Sharma composed music. The film was released on 29 September 2000 and was dubbed into Hindi as Mission Azaad. The film was later remade into Tamil as Velayudham. The story was inspired from 1989 hindi film Main Azaad Hoon in which Amitabh Bachchan played the lead role of Azaad.",5.8,1.328
Devullu,09-11-2000,Telugu,Babloo Prithiveeraj,Nitya Shetty,Vandemataram Srinivas,Two children whose parents are about to get divorced visit seven holy shrines at their grandmother's behest who believes the gods are angry with her because she did not fulfill her promise.,8,0.9144
Bagunnara?,08-05-2000,Telugu,Srihari,Priya Gill,Deva,A young woman meets a man and falls in love with him but things take a turn when her father learns about their relationship and he plans to separate them.,10,0.6206
Badri,20-04-2000,Telugu,Pawan Kalyan,Ameesha Patel,Ramana Gogula,"Vennela accuses Badri of not loving her sincerely and challenges him that no one can love him like she does. However, their lives take a turn when he meets Sarayu and she falls madly in love with him.",5.9,0.7472
Yuvaraju,14-04-2000,Telugu,Mahesh Babu,Simran,Ramana Gogula,"Yuvaraju is a 2000 Tollywood film directed and produced by YVS Chowdary. This film gave Mahesh Babu the tag ""Prince"", as Yuvaraju means prince.",7.8,0.561
Nuvve Kavali,13-10-2000,Telugu,Tarun,Richa Pallod,,"Nuvve Kavali (Telugu: నువ్వే కావాలి) (English translation I Want Only You) is a 2000 blockbuster Telugu film under Ushakiron Movies, directed by K. Vijaya Bhaskar of Swayamvaram fame. Tarun and Richa Pallod debuted with this film. In many ways the film became a catalyst for new trends in Tollywood. This movie was a remake of Malayalam Blockbuster Niram.",6.8,0.3608
Vamsodharakudu,14-01-2000,Telugu,Nandamuri Balakrishna,Ramya Krishnan,Saluri Koteswara Rao,"Suryam is a physical director in a local college and lives with his mother Varalakshmi, a widow. The college in which Suryam work belongs to an Industrialist called Sudarshan Rao.",6,0.4265
Nuvvu Vastavani,05-04-2000,Telugu,Nagarjuna Akkineni,Simran,,"The movie starts with Chinni (Nagarjuna) revealing, on a train journey from Pune to Hyderabad, that he just got out of jail after seven years. His past is revealed in a flash back.  He had been a singer, waiting for the big break. Indu (Simran Bagga) hears his voice, though she doesn't see him and becomes his fan. When Chinni realizes this, he tries to reveal who he is but circumstances place him and Indu in situations where she ends up thinking that he is a rowdy. Chinni ultimately becomes responsible for her losing her eyesight too.  He devotes himself to her from then onwards attending to her every need. She learns to respect and love him too, thinking that he is the singer and not knowing that he is the same person she thought was a rowdy.",6.2,0.5009
Kalisundam Raa,14-01-2000,Telugu,Venkatesh,Simran,S A Rajkumar,"Raghaviah and Ram Mohan Rao are brothers-in-law. But Ram Mohan Rao is at loggerhead with Raghavaiah because of a family feud. Raghavaiah is nearing his 60's and it's time for his Shastipoorti ceremony. It's time for gathering, folks!",7.2,0.4703
Yuvakudu,01-01-2000,Telugu,Sumanth,Bhumika Chawla,Mani Sharma,"Siva, a jovial college student, falls in love with a girl, who later rejects him. His mother decides to befriend the girl and persuade her to marry her son.",6,0.3832
Okkadu Chaalu,01-01-2000,Telugu,Dr. Rajasekhar,Rambha,,"Okkadu Chaalu is a 2005 Indian Telugu film, directed by Ravi Raja Pinisetty and Produced by Maganti Gopinath. The film stars Rajasekhar, Sanghavi, Rambha, Vishnu Vardhan and Sumalatha in lead roles",0,0.3892
