name,album,artist,id,release_date,popularity,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Tharki Chokro,Pk,"Swaroop Khan, Ajay-Atul, Swanand Kirkire",5YUZpKW1nRVtxsy3sN6q1g,2014-11-17,42,60000,133.92857142857142,0.0008546219420922,0.5243499245967383,1.0,0.0286910142749547,1.0,-20.095888,0.0837941,0.417617372394599,7,1,7
Nanga Punga Dost,Pk,"Shreya Ghoshal, Shantanu Moitra, Swanand Kirkire",0NbsId64Ern8x1fThsnSdG,2014-11-17,39,60000,160.71428571428572,0.0009557743752741,0.3337431852392908,1.0,0.0381718873977661,1.0,-16.889244,0.096070096,0.4020628578410767,4,1,7
Chaar Kadam,Pk,"Shaan, Shreya Ghoshal, Shantanu Moitra, Swanand Kirkire",0bYDMpQ94LnF38FiOlc8K9,2014-11-17,61,60000,119.6808510638298,0.0020527235041642,0.2030676317265819,1.0,0.0,1.0,-23.0617,0.10529596,0.2722626922489912,3,0,7
Love Is A Waste Of Time,Pk,"Sonu Nigam, Shreya Ghoshal, Shantanu Moitra, Amitabh Varma",0q8g9felKNWRG6lBxQ7FX6,2014-11-17,52,60000,75.0,0.0010087910808684,0.2338607685022662,1.0,0.0748028457164764,1.0,-18.601414,0.09394101,0.2961044186763923,4,1,7
Bhagwaan Hai Kahan Re Tu,Pk,"Sonu Nigam, Shantanu Moitra, Swanand Kirkire",6QXOeVS0RuwbMrI4ud2Lud,2014-11-17,54,60000,125.0,0.0013379881408619,0.1290126546947209,1.0,0.0,1.0,-21.44756,0.10104707,0.2472162533038176,4,1,7
Pk Dance Theme,Pk,Shantanu Moitra,383Joat1pE0yLpjQmbMrJQ,2014-11-17,29,60000,87.890625,0.0011085411463725,0.1332106930990046,0.5189054608345032,0.0,1.0,-29.521141,0.10352078,0.1787631424270089,5,1,7
Dil Darbadar,Pk,"Ankit Tiwari, Manoj Muntashir",64uIY06wOtU9o8r3c1rx1x,2014-11-17,52,60000,119.6808510638298,0.0012553991792746,0.2208609094494312,1.0,0.0,1.0,-15.360426,0.097533144,0.3086300233561787,9,1,7
Punjabi Wedding Song,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Sunidhi Chauhan, Benny Dayal",69iDTIABXobqbl8zJOp8dq,2014-01-05,54,60000,78.125,0.0014625525118095,0.2032364385220405,1.0,0.0012579378671944,1.0,-20.228605270385746,0.0979450941085815,0.2183166814314469,2,1,7
Shake It Like Shammi,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Benny Dayal",2p54FBeWYWX56nPCaR67hP,2014-01-05,43,60000,93.75,0.0012314845202513,0.2294982628088339,1.0,0.000301049061818,1.0,-15.679126739501951,0.0765893161296844,0.2489682724403575,3,0,7
Drama Queen,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Shreya Ghoshal, Vishal Dadlani",7xxxQG1BupSnOBo4qId9kl,2014-01-05,53,60000,152.02702702702703,0.001026953570305,0.2251101540281727,1.0,0.0688864514231681,1.0,-14.498191833496094,0.0964620411396026,0.3424215097609243,5,1,7
Manchala,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant",3zAXHUL5YcYOA41rruvjy4,2014-01-05,63,60000,148.02631578947367,0.0017323507613573,0.1223988131276661,0.6161500215530396,0.0,1.0,-26.09490776062012,0.0921658352017402,0.1489701393451726,3,0,7
Zehnaseeb,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Chinmayi, Shekhar Ravjiani",3xF15SqY32Mno3UUMBirhU,2014-01-05,71,60000,110.29411764705884,0.0021912516225279,0.1994458797602648,1.0,0.0,1.0,-21.899343490600582,0.0942056402564048,0.2371437262476399,6,0,7
Ishq Bulaava,Hasee Toh Phasee (Original Motion Picture Soundtrack),"Vishal-Shekhar, Sanam Puri, Shipra Goyal",1fkjRQA8wXPPyxqYLbxuqy,2014-01-05,75,60000,160.71428571428572,0.001040663046363,0.1731272079408105,1.0,0.0013121941592544,1.0,-20.681060791015625,0.0894985422492027,0.2010368381045968,9,1,7
India Waale,Happy New Year,"Neeti Mohan, Vishal Dadlani, KK, Shankar Mahadevan",69EoR3Z8jgRODL3AmQs5ZP,2014-09-26,51,60000,127.8409090909091,0.0013261552618392,0.4158054193143441,1.0,0.0,1.0,-16.22391700744629,0.0936234891414642,0.3771795650704427,11,1,7
Manwa Laage,Happy New Year,"Shreya Ghoshal, Arijit Singh",3H43T5swYywvcdCBFiDgW6,2014-09-26,64,60000,160.71428571428572,0.0014740389935786,0.2457766188788659,1.0,0.0,1.0,-22.80673599243164,0.104704312980175,0.3112266824529869,0,1,7
Satakli,Happy New Year,Sukhwinder Singh,4n1j59aiRDYCU1Rpz70wKU,2014-09-26,45,60000,137.1951219512195,0.00105543224823,0.3351986556556612,1.0,0.3976888060569763,1.0,-17.319564819335938,0.0929141864180564,0.2821581258473383,4,1,7
Lovely,Happy New Year,"Kanika Kapoor, Ravindra Upadhyay, Miraya Varma, Fateh",1YTU6H9mLYZZMP78x5V7KC,2014-09-26,58,60000,112.5,0.0012067375812195,0.3842576423913527,1.0,0.1265556067228317,1.0,-15.188912391662598,0.0843865871429443,0.3683899184187644,3,0,7
World Dance Medley,Happy New Year,"Neeti Mohan, Vishal Dadlani, Sukhwinder Singh, KK, Shankar Mahadevan, Shah Rukh Khan",0OB3JnLqcE9Zrht2u3uIv5,2014-09-26,39,60000,90.7258064516129,0.0013982523140408,0.2583203958185211,1.0,0.0222270842641592,1.0,-18.34489250183105,0.0944130942225456,0.2836911913569258,4,1,7
Nonsense Ki Night,Happy New Year,Mika Singh,6XRMWXhoKNHMaN2nepsarZ,2014-09-26,38,60000,130.8139534883721,0.001292544556013,0.3238096213450942,1.0,0.0,1.0,-19.6309871673584,0.0914272516965866,0.2721901327678612,11,1,7
Dance Like A Chammiya,Happy New Year,"Sunidhi Chauhan, Vishal Dadlani",6pD8zlJXnfDe9FjDt0S48K,2014-09-26,42,60000,110.29411764705884,0.0013004094988231,0.2961747772618201,1.0,0.0,1.0,-18.32634353637696,0.087884321808815,0.2909606296471674,7,1,7
