Movie,Song Name,Album,Artist,Spotify ID,Release Date,Popularity
Azad,Kala Anuko,Aazaad,"Hariharan, Mahalakshmi Iyer",5bBsWTPchnSLap0QXpn4ST,2004-07-17,40
Azad,Koyila Koyila Koyila,Aazaad,Abhijeet,1KfXa25fPiYpVt5pAWmq3P,2004-07-17,24
Azad,Chemma Chekka Chemma Chekka,Aazaad,"S. P. Balasubrahmanyam, K. S. Chithra, Harini",6ds8c3NhV8yZs6Hl1sKKcK,2004-07-17,27
Azad,So So So Are Sonare,Aazaad,"Udit Narayan, Vasundhara Das",0eB5PHGiLqsZol8h3qZmAG,2004-07-17,22
Azad,Sudigaalilo,Aazaad,"Hariharan, K. S. Chithra",2t3cTFrBz73i9hM9vFHz59,2004-07-17,28
Azad,Hay Hay Nayaka Athamma Kodaka,Aazaad,"Sukhwinder Singh, K. S. Chithra",5zdLUsktUEVEGCuzrdXMaQ,2004-07-17,30
Badri,Bangala Kathamulo,Badri,"Ramana Gogula, Sunitha",0iKtQHMwA3k3NeKFWo17eN,2000-04-20,59
Badri,Yey Chikittha,Badri,"Ramana Gogula, Sunitha",14EQIE6878pGC6kgdIzsEK,2000-04-20,57
Badri,I Am An Indian,Badri,Ramana Gogula,2EFCBNqHOIoo623iQoyZM8,2000-04-20,37
Badri,Varamanti Manase,Badri,Ramana Gogula,5HqZsDAqg7qpxfEU3h8asD,2000-04-20,35
Badri,Vevela Mainala Ganam,Badri,"Ramana Gogula, Sunitha",2U2TAonLFkU1A7gIFzuFkR,2000-04-20,42
Badri,Challipidugullo,Badri,"Ramana Gogula, Sunitha",3IX65zGNhnBuyquJ9dhIDQ,2000-04-20,36
Devullu,Vakrathunda Mahakaya,Devullu,S. P. Balasubrahmanyam,58GrjiNa1jhmOL0ZWRbNBB,2001-05-09,48
Devullu,Andhari Bhanduvayya,Devullu,S. P. Balasubrahmanyam,74VFvLwTnReHu8RFHaahx7,2001-05-09,49
Devullu,Sirula Nosage,Devullu,"Swarnalatha, Sujatha",0HfKdr3yjChjL0195O6QNx,2001-05-09,42
Devullu,Maha Kanaka Durga,Devullu,S. Janaki,61mHqu0APiT50jIZnWPrat,2001-05-09,44
Devullu,Ayyappa Devaya,Devullu,S. P. Balasubrahmanyam,6LOptg5w9hDnadXxjUnVrR,2001-05-09,49
Devullu,Shanti Nikethana,Devullu,"K. S. Chithra, Rajesh",3IREm6qm2qa4J6ntJPJx96,2001-05-09,34
Devullu,Nee Prema Kore,Devullu,"K. S. Chithra, Swarnalatha",1zM1r21GuLpRzxjDvBi8NS,2001-05-09,34
Yuvaraju,Ramachilaka,Yuvaraju,Ramana Gogula,5hdUdzVsEpur4FAuZIlGHA,2000-04-24,38
Yuvaraju,Manasemo,Yuvaraju,"K. S. Chithra, Ramana Gogula",3jvFIASppbMxWwkepFSd8T,2000-04-24,31
Yuvaraju,Olammo,Yuvaraju,"Ramana Gogula, Nanditha",6XY7rwPhVaMFQqWZTVUSDL,2000-04-24,23
Yuvaraju,Nookalisthe,Yuvaraju,"Shankar Mahadevan, Nanditha",6x06IUVvtOSAfRLRrcoOQM,2000-04-24,30
Yuvaraju,Twinkle Twinkle,Yuvaraju,Ramana Gogula,5w0VYPmdfD6eGhXQQaJZNJ,2000-04-24,25
Yuvaraju,Haire Hai Debba,Yuvaraju,"Udit Narayan, K. S. Chithra",0YgHFvpMMVePcGhMMI9S7H,2000-04-24,28
Yuvaraju,Tholivalape,Yuvaraju,"Hariharan, K. S. Chithra",5hrnsnkcUw9f0aZPpBx5MG,2000-04-24,30
Yuvaraju,Chandamama,Yuvaraju,"Sunitha, Anuradha Sriram",1pLnWUd98CscOGfUJoHGK6,2000-04-24,20
Yuvaraju,Gunthalakidi,Yuvaraju,"S. P. Balasubrahmanyam, K. S. Chithra, Ramana Gogula",5c5GjeqPJSBjVKDutbDEsv,2000-04-24,33
Sammakka Sarakka,"Og Sambavam (From ""Good Bad Ugly"") [TELUGU]","Og Sambavam (From ""Good Bad Ugly"") [TELUGU]","Aravind Srinivas, Shenbagaraj, Saisharan, Narayanan Ravishankar, Shridhar Ramesh, G. V. Prakash, Krishna Kanth",67rgS9YpuUsCo5Mr183ZJ1,2025-04-08,3
Vamsodharakudu,Dole Dole Dolak,Vamshoddarakudu,"Udit Narayan, Sujatha",1Ljrg6QO4wsbw8yzuewkQW,2000,27
Vamsodharakudu,Kondapalli Bomma,Vamshoddarakudu,"S. P. Balasubrahmanyam, K. S. Chithra",1qkqsRpc4IPgZaTrVkpLHZ,2000,31
Vamsodharakudu,Gudigantalu Mroginavela,Vamshoddarakudu,"Hariharan, K. S. Chithra",4ZmqnAqIRJI1BBewqs9oIr,2000,18
Vamsodharakudu,Budi Budi Chinukula Vaana,Vamshoddarakudu,"Ramu, K. S. Chithra",38mj5uWzdrYLBP3h52K0db,2000,35
Vamsodharakudu,Andala Prayam,Vamshoddarakudu,"S. P. Balasubrahmanyam, K. S. Chithra",5E9T6jqXEchEpmbjPHB6L1,2000,35
Ninne Premistha,Oka Devata -Male,Ninne Premista,S. P. Balasubrahmanyam,4RvCIXpVhfktLg9VECKnTK,2000,43
Ninne Premistha,Prema Endukani,Ninne Premista,"Rajesh, K. S. Chithra",4vksdFFYxRsGxULs5SrC1l,2000,46
Ninne Premistha,Koila Paata,Ninne Premista,"S. P. Balasubrahmanyam, K. S. Chithra",5OWd8nCY1BQSPNoNyzDqJ3,2000,37
